personId,eventId1,best1,worldRank1,eventId2,best2,worldRank2,worldRankCombined
2011ETTE01,222Avg,1.47,17,333Avg,6.19,7,24
2013EGDA02,222Avg,1.21,1,333bfAvg,18.36,4,5
2013EGDA02,222Avg,1.21,1,333fmAvg,24.67,20,21
2015CHER07,222Avg,1.49,21,333mbf,35/36 59:08,11,32
2009ZEMD01,222Avg,1.54,26,333ohAvg,9.73,5,31
2013GERH01,222Avg,1.37,7,444Avg,26.61,18,25
2017SIAU02,222Avg,1.56,33,444bfAvg,3:51.27,23,56
2009ZEMD01,222Avg,1.54,26,555Avg,42.09,2,28
2013EGDA02,222Avg,1.21,1,555bfAvg,7:09.87,11,12
2009ZEMD01,222Avg,1.54,26,666Avg,1:21.90,2,28
2009ZEMD01,222Avg,1.54,26,777Avg,2:00.63,2,28
2015CHER07,222Avg,1.49,21,clockAvg,5.56,12,33
2018BACO01,222Avg,1.39,9,minxAvg,36.27,7,16
2015VANL01,222Avg,1.51,22,pyramAvg,1.88,2,24
2014DETL01,222Avg,1.40,10,skewbAvg,2.28,4,14
2014DETL01,222Avg,1.40,10,sq1Avg,6.67,2,12
2013EGDA02,333Avg,6.70,24,333bfAvg,18.36,4,28
2013EGDA02,333Avg,6.70,24,333fmAvg,24.67,20,44
2013EGDA02,333Avg,6.70,24,333mbf,21/21 45:40,55,79
2012PARK03,333Avg,5.59,2,333ohAvg,9.42,1,3
2012PARK03,333Avg,5.59,2,444Avg,21.11,1,3
2017SIAU02,333Avg,6.73,27,444bfAvg,3:51.27,23,50
2009ZEMD01,333Avg,5.53,1,555Avg,42.09,2,3
2012PARK03,333Avg,5.59,2,555Avg,39.65,1,3
2013EGDA02,333Avg,6.70,24,555bfAvg,7:09.87,11,35
2009ZEMD01,333Avg,5.53,1,666Avg,1:21.90,2,3
2012PARK03,333Avg,5.59,2,666Avg,1:15.90,1,3
2009ZEMD01,333Avg,5.53,1,777Avg,2:00.63,2,3
2012PARK03,333Avg,5.59,2,777Avg,1:46.57,1,3
2013EGDA02,333Avg,6.70,24,clockAvg,6.94,78,102
2009ZEMD01,333Avg,5.53,1,minxAvg,36.65,10,11
2016KOLA02,333Avg,6.12,5,pyramAvg,1.86,1,6
2014RZEW01,333Avg,6.79,36,skewbAvg,2.13,2,38
2017SIAU02,333Avg,6.73,27,sq1Avg,7.37,10,37
2011TRON02,333bfAvg,22.27,15,333fmAvg,22.00,2,17
2016CHAP04,333bfAvg,18.94,5,333mbf,42/43 54:39,6,11
2010CANT02,333bfAvg,21.18,13,333ohAvg,10.35,9,22
2013EGDA02,333bfAvg,18.36,4,444Avg,29.04,59,63
2016CHAP04,333bfAvg,18.94,5,444bfAvg,1:08.76,1,6
2013EGDA02,333bfAvg,18.36,4,555Avg,53.92,44,48
2016CHAP04,333bfAvg,18.94,5,555bfAvg,2:27.63,1,6
2013EGDA02,333bfAvg,18.36,4,666Avg,1:44.54,61,65
2013EGDA02,333bfAvg,18.36,4,777Avg,2:28.79,43,47
2016CHAP04,333bfAvg,18.94,5,clockAvg,5.15,6,11
2013EGDA02,333bfAvg,18.36,4,minxAvg,45.69,79,83
2013EGDA02,333bfAvg,18.36,4,pyramAvg,2.41,28,32
2013EGDA02,333bfAvg,18.36,4,skewbAvg,2.68,26,30
2013EGDA02,333bfAvg,18.36,4,sq1Avg,7.71,16,20
2014BOYA01,333fmAvg,22.33,3,333mbf,47/50 54:18,4,7
2015FUSH01,333fmAvg,22.67,4,333ohAvg,11.66,44,48
2015FUSH01,333fmAvg,22.67,4,444Avg,27.55,25,29
2014SCHO02,333fmAvg,21.00,1,444bfAvg,2:02.61,4,5
2015FUSH01,333fmAvg,22.67,4,555Avg,53.67,40,44
2014SCHO02,333fmAvg,21.00,1,555bfAvg,5:00.63,4,5
2015FUSH01,333fmAvg,22.67,4,666Avg,1:41.05,36,40
2015FUSH01,333fmAvg,22.67,4,777Avg,2:27.11,38,42
2016CHAP04,333fmAvg,26.33,55,clockAvg,5.15,6,61
2014ZYCH01,333fmAvg,25.00,29,minxAvg,37.96,13,42
2013EGDA02,333fmAvg,24.67,20,pyramAvg,2.41,28,48
2014CHIC01,333fmAvg,24.67,20,skewbAvg,2.44,11,31
2015FUSH01,333fmAvg,22.67,4,sq1Avg,8.10,24,28
2013EGDA02,333mbf,21/21 45:40,55,333ohAvg,11.98,64,119
2016CHAP04,333mbf,42/43 54:39,6,444Avg,29.75,78,84
2016SIGG01,333mbf,59/60 59:46,1,444bfAvg,1:50.44,3,4
2016CHAP04,333mbf,42/43 54:39,6,555Avg,54.68,50,56
2016CHAP04,333mbf,42/43 54:39,6,555bfAvg,2:27.63,1,7
2016CHAP04,333mbf,42/43 54:39,6,666Avg,1:50.88,100,106
2016CHAP04,333mbf,42/43 54:39,6,777Avg,2:35.79,72,78
2016CHAP04,333mbf,42/43 54:39,6,clockAvg,5.15,6,12
2017FENG10,333mbf,18/20 51:52,107,minxAvg,38.92,14,121
2016CHAP04,333mbf,42/43 54:39,6,pyramAvg,2.56,48,54
2014SCHO02,333mbf,32/34 57:53,18,skewbAvg,2.91,45,63
2015CHER07,333mbf,35/36 59:08,11,sq1Avg,8.30,28,39
2012PARK03,333ohAvg,9.42,1,444Avg,21.11,1,2
2017SIAU02,333ohAvg,12.52,104,444bfAvg,3:51.27,23,127
2012PARK03,333ohAvg,9.42,1,555Avg,39.65,1,2
2013EGDA02,333ohAvg,11.98,64,555bfAvg,7:09.87,11,75
2012PARK03,333ohAvg,9.42,1,666Avg,1:15.90,1,2
2012PARK03,333ohAvg,9.42,1,777Avg,1:46.57,1,2
2009LIUE01,333ohAvg,12.39,91,clockAvg,5.33,7,98
2009ZEMD01,333ohAvg,9.73,5,minxAvg,36.65,10,15
2013EGDA02,333ohAvg,11.98,64,pyramAvg,2.41,28,92
2014RZEW01,333ohAvg,11.03,16,skewbAvg,2.13,2,18
2012PONC02,333ohAvg,9.50,2,sq1Avg,8.84,43,45
2017SIAU02,444Avg,27.09,21,444bfAvg,3:51.27,23,44
2012PARK03,444Avg,21.11,1,555Avg,39.65,1,2
2017SIAU02,444Avg,27.09,21,555bfAvg,14:27.00,33,54
2012PARK03,444Avg,21.11,1,666Avg,1:15.90,1,2
2012PARK03,444Avg,21.11,1,777Avg,1:46.57,1,2
2011KNOT01,444Avg,28.93,54,clockAvg,5.14,5,59
2009ZEMD01,444Avg,22.80,3,minxAvg,36.65,10,13
2016KOLA02,444Avg,25.18,8,pyramAvg,1.86,1,9
2014RZEW01,444Avg,27.24,22,skewbAvg,2.13,2,24
2017SIAU02,444Avg,27.09,21,sq1Avg,7.37,10,31
2016CHAP04,444bfAvg,1:08.76,1,555Avg,54.68,50,51
2016CHAP04,444bfAvg,1:08.76,1,555bfAvg,2:27.63,1,2
2017SIAU02,444bfAvg,3:51.27,23,666Avg,1:40.30,31,54
2016CHAP04,444bfAvg,1:08.76,1,777Avg,2:35.79,72,73
2016CHAP04,444bfAvg,1:08.76,1,clockAvg,5.15,6,7
2017FENG10,444bfAvg,3:27.17,18,minxAvg,38.92,14,32
2016CHAP04,444bfAvg,1:08.76,1,pyramAvg,2.56,48,49
2015KUCA01,444bfAvg,4:26.93,33,skewbAvg,2.38,7,40
2017SIAU02,444bfAvg,3:51.27,23,sq1Avg,7.37,10,33
2016CHAP04,555Avg,54.68,50,555bfAvg,2:27.63,1,51
2012PARK03,555Avg,39.65,1,666Avg,1:15.90,1,2
2012PARK03,555Avg,39.65,1,777Avg,1:46.57,1,2
2016CHAP04,555Avg,54.68,50,clockAvg,5.15,6,56
2009ZEMD01,555Avg,42.09,2,minxAvg,36.65,10,12
2016KOLA02,555Avg,48.26,11,pyramAvg,1.86,1,12
2014JAYE01,555Avg,53.62,37,skewbAvg,2.71,29,66
2017SIAU02,555Avg,53.18,34,sq1Avg,7.37,10,44
2017SIAU02,555bfAvg,14:27.00,33,666Avg,1:40.30,31,64
2013EGDA02,555bfAvg,7:09.87,11,777Avg,2:28.79,43,54
2016CHAP04,555bfAvg,2:27.63,1,clockAvg,5.15,6,7
2017FENG10,555bfAvg,11:11.00,22,minxAvg,38.92,14,36
2013EGDA02,555bfAvg,7:09.87,11,pyramAvg,2.41,28,39
2013EGDA02,555bfAvg,7:09.87,11,skewbAvg,2.68,26,37
2013EGDA02,555bfAvg,7:09.87,11,sq1Avg,7.71,16,27
2012PARK03,666Avg,1:15.90,1,777Avg,1:46.57,1,2
2009LIUE01,666Avg,1:42.17,44,clockAvg,5.33,7,51
2009ZEMD01,666Avg,1:21.90,2,minxAvg,36.65,10,12
2016KOLA02,666Avg,1:30.99,7,pyramAvg,1.86,1,8
2013EGDA02,666Avg,1:44.54,61,skewbAvg,2.68,26,87
2017SIAU02,666Avg,1:40.30,31,sq1Avg,7.37,10,41
2009SIEW03,777Avg,2:24.53,30,clockAvg,6.33,44,74
2009ZEMD01,777Avg,2:00.63,2,minxAvg,36.65,10,12
2016KOLA02,777Avg,2:11.29,9,pyramAvg,1.86,1,10
2014JAYE01,777Avg,2:26.52,36,skewbAvg,2.71,29,65
2013EGDA02,777Avg,2:28.79,43,sq1Avg,7.71,16,59
2015DJAN01,clockAvg,5.78,21,minxAvg,43.82,53,74
2018CREE01,clockAvg,5.37,10,pyramAvg,2.34,18,28
2014HOLU01,clockAvg,5.46,11,skewbAvg,2.61,24,35
2015CHER07,clockAvg,5.56,12,sq1Avg,8.30,28,40
2017YINX01,minxAvg,42.52,42,pyramAvg,2.42,32,74
2013GERH01,minxAvg,37.24,11,skewbAvg,2.98,59,70
2013GERH01,minxAvg,37.24,11,sq1Avg,9.21,52,63
2016KELL12,pyramAvg,2.14,5,skewbAvg,2.57,22,27
2014MINB01,pyramAvg,2.32,14,skewbAvg,2.47,13,27
2013EGDA02,pyramAvg,2.41,28,sq1Avg,7.71,16,44
2013KRAS02,skewbAvg,2.23,3,sq1Avg,6.97,3,6
2014DETL01,skewbAvg,2.28,4,sq1Avg,6.67,2,6
